entrance_year, course_id, course_category, course_name, course_year, credit_required, credit_elective
2019,INFO 303,学科,時空間データベース,3年,0,2
2019,ES 303,学科,リアルワールド解析シミュレータ,3年,0,2
2019,CS 311,学科,マーケティング・オートメーション,3年,0,2
2019,INFO 341,学科,⼈⼯知能(AI)社会の情報倫理,3年,0,2
2019,ES 301,学科,社会・環境・ビジネスデザイン,3年,0,2
2019,SS 311,学科,グローバル・ビジネス・ガバナンス,3年,0,2
2019,CS 312,学科,ビジネスモデル創出,3年,0,2
2019,ES 302,学科,社会・環境・ビジネスフィールドワーク,3年,0,2
2019,INFO 342,学科,専⾨コース演習Ⅰ(⼈⼯知能(AI)クリエーション),3年,1,0
2019,INFO 344,学科,専⾨コース演習Ⅱ(⼈⼯知能(AI)アルゴリズムデザイン),3年,1,0
2019,CS 313,学科,専⾨コース演習Ⅲ(ソーシャルイノベーション),3年,1,0
2019,SS 201,学科,社会連携活動概論,2年,1,0
2019,SS 202,学科,データサイエンス社会実践学習(短期）,2・3年,0,1
2019,SS 203,学科,データサイエンス社会実践学習(中期),2・3年,0,2
2019,SS 204,学科,データサイエンス社会実践学習(⻑期),2・3年,0,3
2019,SS 205,学科,データサイエンス社会実践学習(海外),2・3年,0,4
2019,DS 102,学科,未来創造PJ-AⅠ,1年,0,4
2019,DS 103,学科,未来創造PJ-BⅠ,1年,0,2
2019,DS 201,学科,未来創造PJ-AⅡ,2年,0,4
2019,DS 202,学科,未来創造PJ-BⅡ,2年,0,2
2019,DS 203,学科,未来創造PJ-AⅢ,2年,0,4
2019,DS 204,学科,未来創造PJ-BⅢ,2年,0,2
2019,DS 302,学科,未来創造PJ-AⅣ,3年,0,4
2019,DS 303,学科,未来創造PJ-BⅣ,3年,0,2
2019,DS 304,学科,卒業論⽂創成課題,3年,2,0
2019,DS 401,学科,卒業論⽂Ⅰ,4年,4,0
2019,DS 402,学科,卒業論⽂Ⅱ,4年,4,0
2020,BDS 101,武蔵野BASIS,仏教概説,1年,4,0
2020,BDS 111,武蔵野BASIS,共⽣社会,1年,0,2
2020,BDS 201,武蔵野BASIS,しあわせを考える,2年,0,2
2020,HPE 101,武蔵野BASIS,スポーツと⾝体科学,1年,0,1
2020,HPE 201,武蔵野BASIS,フィールド・スポーツ,2年,0,1
2020,HPE 211,武蔵野BASIS,オリンピック・パラリンピック⽂化論,2年,0,2
2020,SIC 101,武蔵野BASIS,データ・情報リテラシー,1年,1,0
2020,SIC 102,武蔵野BASIS,メディア・⼈⼯知能リテラシー,1年,1,0
2020,SIC 103,武蔵野BASIS,情報分析・創出・表現技法,1年,0,1
2020,SIC 104,武蔵野BASIS,プログラミングリテラシー,1年,0,1
2020,SIC 105,武蔵野BASIS,メディアリテラシー,1年,0,1
2020,SIC 201,武蔵野BASIS,情報技法発展Ａ,2年,0,1
2020,SIC 204,武蔵野BASIS,プログラミング発展Ａ,2年,0,1
2020,ENG 101,武蔵野BASIS,英語1Ａ,1年,1,0
2020,ENG 102,武蔵野BASIS,英語1Ｂ,1年,1,0
2020,ENG 103,武蔵野BASIS,英語1Ｃ,1年,1,0
2020,ENG 104,武蔵野BASIS,英語1Ｄ,1年,1,0
2020,ENG 201,武蔵野BASIS,英語2Ａ,2年,0,1
2020,ENG 202,武蔵野BASIS,英語2Ｂ,2年,0,1
2020,ENG 203,武蔵野BASIS,英語2Ｃ,2年,0,1
2020,ENG 204,武蔵野BASIS,英語2Ｄ,2年,0,1
2020,ENG 301,武蔵野BASIS,英語3Ａ,3年,0,1
2020,ENG 302,武蔵野BASIS,英語3Ｂ,3年,0,1
2020,CHN 101,武蔵野BASIS,中国語１Ａ,1年,0,1
2020,CHN 102,武蔵野BASIS,中国語１Ｂ,1年,0,1
2020,CHN 103,武蔵野BASIS,中国語１Ｃ,1年,0,1
2020,CHN 104,武蔵野BASIS,中国語１Ｄ,1年,0,1
2020,CHN 201,武蔵野BASIS,中国語２Ａ,2年,0,1
2020,CHN 202,武蔵野BASIS,中国語２Ｂ,2年,0,1
2020,CHN 203,武蔵野BASIS,中国語２Ｃ,2年,0,1
2020,CHN 204,武蔵野BASIS,中国語２Ｄ,2年,0,1
2020,CHN 301,武蔵野BASIS,中国語３Ａ,3年,0,1
2020,CHN 302,武蔵野BASIS,中国語３Ｂ,3年,0,1
2020,FRA 101,武蔵野BASIS,フランス語１Ａ,1年,0,1
2020,FRA 102,武蔵野BASIS,フランス語１Ｂ,1年,0,1
2020,FRA 103,武蔵野BASIS,フランス語１Ｃ,1年,0,1
2020,FRA 104,武蔵野BASIS,フランス語１Ｄ,1年,0,1
2020,FRA 201,武蔵野BASIS,フランス語２Ａ,2年,0,1
2020,FRA 202,武蔵野BASIS,フランス語２Ｂ,2年,0,1
2020,FRA 203,武蔵野BASIS,フランス語２Ｃ,2年,0,1
